Observation Date,Series Display Name,Observation Value,Sequence No.,Series name
31-Dec-98,. Total Literate Male Population,25702575,10,Total Literate Male Population of Pakistan
31-Dec-98,....... Without Formal Attainment,181424,20,Male Population of Pakistan W/O Formal Education Attainment
31-Dec-98,....... Primary,11733464,30,Total Male Population of Pakistan with Primary Education
31-Dec-98,....... Middle,5626594,40,Total Male Population of Pakistan with Middle Education
31-Dec-98,....... Matric,4645015,50,Total Male Population of Pakistan with Matriculation
31-Dec-98,....... Intermediate,1671014,60,Total Male Population of Pakistan with Intermediate
31-Dec-98,....... Certificate/Diploma/Less than,133712,70,Total Male Population of Pakistan with Certificate/Diploma/Less than
31-Dec-98,....... BA/BS/BSC or Equivalent,1148395,80,Total Male Population of Pakistan with BA/BS/BSC or Equivalent
31-Dec-98,....... MA/MSC or Equivalent,456185,90,Total Male Population of Pakistan with MA/MSC or Equivalent
31-Dec-98,....... Others,106772,100,Total Male Population of Pakistan with Other Educational Attainment
31-Dec-98,. Total Literate Female Population,13755642,110,Total Literate Female Population of Pakistan
31-Dec-98,....... Without Formal Attainment,191382,120,Female Population of Pakistan W/O Formal Education Attainment
31-Dec-98,....... Primary,7198630,130,Total Female Population of Pakistan with Primary Education
31-Dec-98,....... Middle,2541361,140,Total Female Population of Pakistan with Middle Education
31-Dec-98,....... Matric,2113674,150,Total Female Population of Pakistan with Matriculation
31-Dec-98,....... Intermediate,893554,160,Total Female Population of Pakistan with Intermediate
31-Dec-98,....... Certificate/Diploma/Less than,26100,170,Total Female Population of Pakistan with Certificate/Diploma/Less than
31-Dec-98,....... BA/BS/BSC or Equivalent,563913,180,Total Female Population of Pakistan with BA/BS/BSC or Equivalent
31-Dec-98,....... MA/MSC or Equivalent,162752,190,Total Female Population of Pakistan with MA/MSC or Equivalent
31-Dec-98,....... Others,64276,200,Total Female Population of Pakistan with Other Educational Attainment
31-Dec-81,. Total Literate Male Population,10544528,10,Total Literate Male Population of Pakistan
31-Dec-81,....... Without Formal Attainment,991996,20,Male Population of Pakistan W/O Formal Education Attainment
31-Dec-81,....... Primary,4106913,30,Total Male Population of Pakistan with Primary Education
